run_id,profile_hash,cache_path,source_path,n_stations,nt,dt,Hs,Tp,offshore_x,offshore_depth,trim_start
input_03471,c7adf577aa7d,funwave_capstone_station_artifacts\cache\processed_station_runs\nc_small_ali_03471__6bb6d70bc8bb9045.joblib,funwave_capstone_station_artifacts\extracted_nc\E2\E2\nc_small_ali_03471.nc,10,1871,0.6,0.5804470181465149,10.0,378.37469482421875,8.7266845703125,206.01697113152858
input_04863,2a746a0c4055,funwave_capstone_station_artifacts\cache\processed_station_runs\nc_small_ali_04863__f94d7c6469565cb4.joblib,funwave_capstone_station_artifacts\extracted_nc\E2\E2\nc_small_ali_04863.nc,10,1518,0.6,0.5804440975189209,16.0,626.4285278320312,7.9803466796875,175.79160202926454
input_04865,27ba8c99d88c,funwave_capstone_station_artifacts\cache\processed_station_runs\nc_small_ali_04865__f56d8362e8513e27.joblib,funwave_capstone_station_artifacts\extracted_nc\E2\E2\nc_small_ali_04865.nc,10,1598,0.6,0.5846654176712036,16.0,626.4285278320312,8.3079833984375,182.58943072458152
input_04884,ba4b60e7fb30,funwave_capstone_station_artifacts\cache\processed_station_runs\nc_small_ali_04884__2f36671c8ba42911.joblib,funwave_capstone_station_artifacts\extracted_nc\E2\E2\nc_small_ali_04884.nc,10,1878,0.6,1.0033786296844482,11.764705657958984,452.1927490234375,7.58685302734375,206.64800839950811
input_04944,bbf1f12fa9ae,funwave_capstone_station_artifacts\cache\processed_station_runs\nc_small_ali_04944__2dfa2937016624bc.joblib,funwave_capstone_station_artifacts\extracted_nc\E2\E2\nc_small_ali_04944.nc,10,1591,0.6,1.9267985820770264,14.285714149475098,556.2529907226562,9.15557861328125,182.02545036589817
input_04951,bc5d182741c2,funwave_capstone_station_artifacts\cache\processed_station_runs\nc_small_ali_04951__587e4f41d7da40bd.joblib,funwave_capstone_station_artifacts\extracted_nc\E2\E2\nc_small_ali_04951.nc,10,1680,0.6,1.145266056060791,10.0,378.37469482421875,8.37225341796875,189.64320224861262
input_04954,b2b0763710c8,funwave_capstone_station_artifacts\cache\processed_station_runs\nc_small_ali_04954__a1f593f34b637f4a.joblib,funwave_capstone_station_artifacts\extracted_nc\E2\E2\nc_small_ali_04954.nc,10,1750,0.6,0.3495948612689972,14.285714149475098,556.2529907226562,7.6629638671875,195.6882808666176
input_02906,ca54496d3776,funwave_capstone_station_artifacts\cache\processed_station_runs\nc_small_ali_02906__f1647d52086c9cff.joblib,funwave_capstone_station_artifacts\extracted_nc\E2\E2\nc_small_ali_02906.nc,10,1841,0.6,1.1564587354660034,10.0,378.37469482421875,7.92266845703125,203.41043561111002
input_02869,675249c72df3,funwave_capstone_station_artifacts\cache\processed_station_runs\nc_small_ali_02869__3a04726b6e4cc639.joblib,funwave_capstone_station_artifacts\extracted_nc\E2\E2\nc_small_ali_02869.nc,10,1776,0.6,3.7325661182403564,10.0,378.37469482421875,8.31732177734375,197.8284082285712
input_01706,dfd47f152142,funwave_capstone_station_artifacts\cache\processed_station_runs\nc_small_ali_01706__265e68158c222f45.joblib,funwave_capstone_station_artifacts\extracted_nc\E2\E2\nc_small_ali_01706.nc,10,1833,0.6,0.8645556569099426,8.69565200805664,322.9681396484375,8.03912353515625,202.7182544548916
input_02494,5defeb383cbe,funwave_capstone_station_artifacts\cache\processed_station_runs\nc_small_ali_02494__6266d78d037f6039.joblib,funwave_capstone_station_artifacts\extracted_nc\E2\E2\nc_small_ali_02494.nc,10,1960,0.6,1.3014635621423978,10.81081081081081,412.4228515625,7.98602294921875,213.6972602600354
input_04612,4780f82a09fd,funwave_capstone_station_artifacts\cache\processed_station_runs\nc_small_ali_04612__f04aa6f48d69a8d9.joblib,funwave_capstone_station_artifacts\extracted_nc\E2\E2\nc_small_ali_04612.nc,10,1790,0.6,0.8695349097251892,8.163265228271484,300.0580749511719,8.97100830078125,199.06741535965642
input_03630,7c613ba960c2,funwave_capstone_station_artifacts\cache\processed_station_runs\nc_small_ali_03630__0ba35a9d641a9a35.joblib,funwave_capstone_station_artifacts\extracted_nc\E2\E2\nc_small_ali_03630.nc,10,1962,0.6,0.785498857498169,9.302325248718262,348.8512268066406,7.9140625,213.84206709390585
