cache_path,run_id,profile_hash,station_id,station_rank,station_label,n_samples,duration_s,depth_target,x_target,dx_to_offshore,tau_path,shoaling_gain_path,local_slope,wet_fraction,target_std,Hs,Tp
funwave_capstone_station_artifacts\cache\processed_station_runs\nc_small_ali_04977__7e9f4c6ce316f6c4.joblib,input_04977,a5a31e7e1f53,station_07,7,h3.03m_x1024.6,1779,1066.79999999999,3.03436279296875,1024.588623046875,572.3958740234375,85.35038962855246,1.2321720290992466,-0.023330656811594963,1.0,0.2564989924430847,1.037599802017212,11.764705657958984
funwave_capstone_station_artifacts\cache\processed_station_runs\nc_small_ali_04977__7e9f4c6ce316f6c4.joblib,input_04977,a5a31e7e1f53,station_08,8,h2.59m_x1096.1,1779,1066.79999999999,2.59088134765625,1096.1380615234375,643.9453125,100.11230804573903,1.2776569921189442,-0.0014928410528227687,1.0,0.20963619649410248,1.037599802017212,11.764705657958984
funwave_capstone_station_artifacts\cache\processed_station_runs\nc_small_ali_04977__7e9f4c6ce316f6c4.joblib,input_04977,a5a31e7e1f53,station_09,9,h0.00m_x1167.7,1779,1066.79999999999,0.05,1167.6876220703125,715.494873046875,121.2003403462902,3.3649556467136086,-0.003305467776954174,0.5930297920179877,0.11810757964849472,1.037599802017212,11.764705657958984
funwave_capstone_station_artifacts\cache\processed_station_runs\nc_small_ali_04978__8671abff5a65b130.joblib,input_04978,bb82b1e92f87,station_00,0,h7.62m_x488.1,1853,1111.1999999999894,7.6224365234375,488.1207275390625,75.69784545898438,9.908003279075615,1.0088801428927319,-0.004138559568673372,1.0,0.3041570484638214,1.243181586265564,10.810811042785645
funwave_capstone_station_artifacts\cache\processed_station_runs\nc_small_ali_04978__8671abff5a65b130.joblib,input_04978,bb82b1e92f87,station_01,1,h7.20m_x561.2,1853,1111.1999999999894,7.2039794921875,561.2083129882812,148.78543090820312,19.660122339765298,1.0194573100945303,-0.007038251496851444,1.0,0.30167534947395325,1.243181586265564,10.810811042785645
funwave_capstone_station_artifacts\cache\processed_station_runs\nc_small_ali_04978__8671abff5a65b130.joblib,input_04978,bb82b1e92f87,station_02,2,h6.71m_x635.6,1853,1111.1999999999894,6.713134765625,635.60107421875,223.17819213867188,29.818460608819628,1.0331301618635396,-0.010311930440366268,1.0,0.29363349080085754,1.243181586265564,10.810811042785645
funwave_capstone_station_artifacts\cache\processed_station_runs\nc_small_ali_04978__8671abff5a65b130.joblib,input_04978,bb82b1e92f87,station_03,3,h6.04m_x710.0,1853,1111.1999999999894,6.04248046875,709.9937744140625,297.5708923339844,40.30557098903002,1.0544435641296686,-0.012042216956615448,1.0,0.29037100076675415,1.243181586265564,10.810811042785645
funwave_capstone_station_artifacts\cache\processed_station_runs\nc_small_ali_04978__8671abff5a65b130.joblib,input_04978,bb82b1e92f87,station_04,4,h5.15m_x783.1,1853,1111.1999999999894,5.1519775390625,783.0814208984375,370.6585388183594,51.16560467388044,1.0887859122633932,-0.01337480079382658,1.0,0.29082155227661133,1.243181586265564,10.810811042785645
funwave_capstone_station_artifacts\cache\processed_station_runs\nc_small_ali_04978__8671abff5a65b130.joblib,input_04978,bb82b1e92f87,station_05,5,h4.05m_x857.5,1853,1111.1999999999894,4.0496826171875,857.47412109375,445.0512390136719,63.177639009699405,1.145235716578066,-0.012346256524324417,1.0,0.28814318776130676,1.243181586265564,10.810811042785645
funwave_capstone_station_artifacts\cache\processed_station_runs\nc_small_ali_04978__8671abff5a65b130.joblib,input_04978,bb82b1e92f87,station_06,6,h3.59m_x931.9,1853,1111.1999999999894,3.59246826171875,931.8668823242188,519.4439697265625,76.34926810309952,1.175356857810124,0.005635173991322517,1.0,0.2699774205684662,1.243181586265564,10.810811042785645
funwave_capstone_station_artifacts\cache\processed_station_runs\nc_small_ali_04978__8671abff5a65b130.joblib,input_04978,bb82b1e92f87,station_07,7,h3.85m_x1006.3,1853,1111.1999999999894,3.84625244140625,1006.2595825195312,593.836669921875,89.38593344158667,1.1580296756956643,-0.012252245098352432,1.0,0.25400733947753906,1.243181586265564,10.810811042785645
funwave_capstone_station_artifacts\cache\processed_station_runs\nc_small_ali_04978__8671abff5a65b130.joblib,input_04978,bb82b1e92f87,station_08,8,h1.76m_x1079.3,1853,1111.1999999999894,1.75885009765625,1079.34716796875,666.92431640625,103.92240060862098,1.382897149573549,-0.026188192889094353,1.0,0.24450114369392395,1.243181586265564,10.810811042785645
funwave_capstone_station_artifacts\cache\processed_station_runs\nc_small_ali_04978__8671abff5a65b130.joblib,input_04978,bb82b1e92f87,station_09,9,h0.00m_x1153.7,1853,1111.1999999999894,0.05,1153.7398681640625,741.3170166015625,128.0026903050574,3.31852030929321,-0.044221505522727966,0.6648677819751754,0.13530094921588898,1.243181586265564,10.810811042785645
funwave_capstone_station_artifacts\cache\processed_station_runs\nc_small_ali_04983__d41c33ba7773bd43.joblib,input_04983,4bf679c41e62,station_00,0,h7.68m_x283.8,1996,1196.9999999999886,7.680419921875,283.75091552734375,68.20936584472656,11.755079032740245,1.0023953675143267,-0.004697776399552822,1.0,0.12390366196632385,0.4990179240703583,6.25
funwave_capstone_station_artifacts\cache\processed_station_runs\nc_small_ali_04983__d41c33ba7773bd43.joblib,input_04983,4bf679c41e62,station_01,1,h7.18m_x350.6,1996,1196.9999999999886,7.1771240234375,350.5960693359375,135.0545196533203,23.341907693529606,1.0060566197311385,-0.007829627022147179,1.0,0.12231211364269257,0.4990179240703583,6.25
funwave_capstone_station_artifacts\cache\processed_station_runs\nc_small_ali_04983__d41c33ba7773bd43.joblib,input_04983,4bf679c41e62,station_02,2,h6.59m_x418.1,1996,1196.9999999999886,6.5928955078125,418.1233215332031,202.58177185058594,35.15678014103878,1.01184711866041,-0.007203484419733286,1.0,0.12018858641386032,0.4990179240703583,6.25
funwave_capstone_station_artifacts\cache\processed_station_runs\nc_small_ali_04983__d41c33ba7773bd43.joblib,input_04983,4bf679c41e62,station_03,3,h5.88m_x485.0,1996,1196.9999999999886,5.87933349609375,484.968505859375,269.42694091796875,47.026853903360745,1.0216806884777807,-0.009261330589652061,1.0,0.11697699874639511,0.4990179240703583,6.25
funwave_capstone_station_artifacts\cache\processed_station_runs\nc_small_ali_04983__d41c33ba7773bd43.joblib,input_04983,4bf679c41e62,station_04,4,h5.14m_x551.8,1996,1196.9999999999886,5.141845703125,551.8136596679688,336.2720947265625,59.17736611165346,1.0359593343543247,-0.009485090151429176,1.0,0.11633989214897156,0.4990179240703583,6.25
funwave_capstone_station_artifacts\cache\processed_station_runs\nc_small_ali_04983__d41c33ba7773bd43.joblib,input_04983,4bf679c41e62,station_05,5,h4.43m_x619.3,1996,1196.9999999999886,4.43304443359375,619.3409423828125,403.79937744140625,71.8734160830197,1.055006482383842,-0.009753630496561527,1.0,0.11480409651994705,0.4990179240703583,6.25
funwave_capstone_station_artifacts\cache\processed_station_runs\nc_small_ali_04983__d41c33ba7773bd43.joblib,input_04983,4bf679c41e62,station_06,6,h3.72m_x686.9,1996,1196.9999999999886,3.72479248046875,686.8681640625,471.32659912109375,85.08151807315684,1.0813903038634944,-0.01579347252845764,1.0,0.11512389034032822,0.4990179240703583,6.25
funwave_capstone_station_artifacts\cache\processed_station_runs\nc_small_ali_04983__d41c33ba7773bd43.joblib,input_04983,4bf679c41e62,station_07,7,h1.94m_x753.7,1996,1196.9999999999886,1.93994140625,753.71337890625,538.1718139648438,99.77829532847144,1.214338281320481,-0.021610071882605553,1.0,0.12322093546390533,0.4990179240703583,6.25
funwave_capstone_station_artifacts\cache\processed_station_runs\nc_small_ali_04983__d41c33ba7773bd43.joblib,input_04983,4bf679c41e62,station_08,8,h2.61m_x821.2,1996,1196.9999999999886,2.6131591796875,821.2406005859375,605.6990356445312,117.26361418073918,1.147333931963129,0.015659254044294357,1.0,0.0953432023525238,0.4990179240703583,6.25
funwave_capstone_station_artifacts\cache\processed_station_runs\nc_small_ali_04983__d41c33ba7773bd43.joblib,input_04983,4bf679c41e62,station_09,9,h0.00m_x888.1,1996,1196.9999999999886,0.05,888.0857543945312,672.544189453125,143.41373686229343,2.885258478456557,-0.02554924227297306,0.6978957915831663,0.0718090608716011,0.4990179240703583,6.25
funwave_capstone_station_artifacts\cache\processed_station_runs\nc_small_ali_04990__135ab6ca543319a6.joblib,input_04990,065947174a10,station_00,0,h7.25m_x417.3,1831,1097.9999999999895,7.2457275390625,417.2967224121094,68.44549560546875,9.533755723835563,1.0106664584075833,-0.0038425170350819826,1.0,0.14103682339191437,0.5932565331459045,9.302325248718262
funwave_capstone_station_artifacts\cache\processed_station_runs\nc_small_ali_04990__135ab6ca543319a6.joblib,input_04990,065947174a10,station_01,1,h6.68m_x484.6,1831,1097.9999999999895,6.677734375,484.63824462890625,135.78701782226562,19.135703762392748,1.0245288219368938,-0.010559913702309132,1.0,0.1405862271785736,0.5932565331459045,9.302325248718262
funwave_capstone_station_artifacts\cache\processed_station_runs\nc_small_ali_04990__135ab6ca543319a6.joblib,input_04990,065947174a10,station_02,2,h6.02m_x552.0,1831,1097.9999999999895,6.01556396484375,551.9797973632812,203.12857055664062,29.046063050721706,1.0433556254244754,-0.009232749231159687,1.0,0.13735739886760712,0.5932565331459045,9.302325248718262
funwave_capstone_station_artifacts\cache\processed_station_runs\nc_small_ali_04990__135ab6ca543319a6.joblib,input_04990,065947174a10,station_03,3,h5.29m_x619.3,1831,1097.9999999999895,5.28594970703125,619.3212890625,270.4700622558594,39.37981418510674,1.068314016514894,-0.012135472148656845,1.0,0.13468989729881287,0.5932565331459045,9.302325248718262
funwave_capstone_station_artifacts\cache\processed_station_runs\nc_small_ali_04990__135ab6ca543319a6.joblib,input_04990,065947174a10,station_04,4,h4.53m_x686.7,1831,1097.9999999999895,4.52679443359375,686.662841796875,337.8116149902344,50.28383022285969,1.1005679843851142,-0.009592524729669094,1.0,0.12964217364788055,0.5932565331459045,9.302325248718262
funwave_capstone_station_artifacts\cache\processed_station_runs\nc_small_ali_04990__135ab6ca543319a6.joblib,input_04990,065947174a10,station_05,5,h3.74m_x752.9,1831,1097.9999999999895,3.73870849609375,752.900390625,404.0491638183594,61.75682088046725,1.143749538169942,-0.012163184583187103,1.0,0.13498908281326294,0.5932565331459045,9.302325248718262
funwave_capstone_station_artifacts\cache\processed_station_runs\nc_small_ali_04990__135ab6ca543319a6.joblib,input_04990,065947174a10,station_06,6,h3.43m_x820.2,1831,1097.9999999999895,3.43212890625,820.241943359375,471.3907165527344,74.22412838668748,1.1642517867213007,0.0013822081964462996,1.0,0.1338041126728058,0.5932565331459045,9.302325248718262
funwave_capstone_station_artifacts\cache\processed_station_runs\nc_small_ali_04990__135ab6ca543319a6.joblib,input_04990,065947174a10,station_07,7,h3.25m_x887.6,1831,1097.9999999999895,3.2498779296875,887.58349609375,538.7322998046875,86.75732290954116,1.1777050745706676,-0.020069129765033722,1.0,0.12964284420013428,0.5932565331459045,9.302325248718262
funwave_capstone_station_artifacts\cache\processed_station_runs\nc_small_ali_04990__135ab6ca543319a6.joblib,input_04990,065947174a10,station_08,8,h1.11m_x954.9,1831,1097.9999999999895,1.1142578125,954.9249877929688,606.07373046875,102.84327375329379,1.5009301027871205,0.0060813892632722855,1.0,0.13400834798812866,0.5932565331459045,9.302325248718262
funwave_capstone_station_artifacts\cache\processed_station_runs\nc_small_ali_04990__135ab6ca543319a6.joblib,input_04990,065947174a10,station_09,9,h0.07m_x1022.3,1831,1097.9999999999895,0.0655517578125,1022.2665405273438,673.415283203125,123.66782607322185,3.010577179577729,-0.08519931137561798,0.7471327143637356,0.11706574261188507,0.5932565331459045,9.302325248718262
funwave_capstone_station_artifacts\cache\processed_station_runs\nc_small_ali_04996__10f601a7479d7f6f.joblib,input_04996,5f0b21ce48e1,station_00,0,h8.69m_x485.5,1750,1049.39999999999,8.68853759765625,485.5104675292969,73.08758544921875,9.119515084974793,1.0099870650651515,-0.006734163966029882,1.0,0.6474730372428894,2.6560475826263428,10.810811042785645
funwave_capstone_station_artifacts\cache\processed_station_runs\nc_small_ali_04996__10f601a7479d7f6f.joblib,input_04996,5f0b21ce48e1,station_01,1,h8.11m_x557.3,1750,1049.39999999999,8.10546875,557.2929077148438,144.87002563476562,18.276238978152794,1.022403973491763,-0.008815029636025429,1.0,0.656045138835907,2.6560475826263428,10.810811042785645
funwave_capstone_station_artifacts\cache\processed_station_runs\nc_small_ali_04996__10f601a7479d7f6f.joblib,input_04996,5f0b21ce48e1,station_02,2,h7.35m_x630.4,1750,1049.39999999999,7.35223388671875,630.3805541992188,217.95767211914062,27.878981814583128,1.0407072293880801,-0.012766932137310505,1.0,0.6437525153160095,2.6560475826263428,10.810811042785645
funwave_capstone_station_artifacts\cache\processed_station_runs\nc_small_ali_04996__10f601a7479d7f6f.joblib,input_04996,5f0b21ce48e1,station_03,3,h6.38m_x702.2,1750,1049.39999999999,6.37969970703125,702.1629638671875,289.7400817871094,37.73341472256915,1.0690982772394864,-0.020342687144875526,1.0,0.6644506454467773,2.6560475826263428,10.810811042785645
